Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
11,15.905973720586866,0,111,28,4.69041575982343,1788,114,0,0,0,3,1,1
11,14.247806848775006,1,108,29,2.8284271247461903,1788,114,0,0,0,3,1,1
11,13.114877048604,2,103,30,3.1622776601683795,1788,113,0,0,0,3,1,1
11,10.295630140987,3,101,31,3.0,1788,114,0,0,0,3,1,1
11,8.774964387392123,4,103,27,4.795831523312719,1788,104,0,0,0,3,1,1
11,9.9498743710662,5,99,28,3.872983346207417,1788,103,0,0,0,3,1,1
11,13.416407864998739,6,97,26,3.605551275463989,1788,95,0,0,0,3,1,1
11,21.42428528562855,7,89,29,3.0,1788,97,0,0,0,3,1,1
11,30.298514815086232,8,87,28,3.3166247903554,1788,92,1,0,0,3,1,1
11,22.090722034374522,9,98,18,2.23606797749979,1716,66,23,0,0,3,1,1
11,18.384776310850235,10,128,15,3.4641016151377544,1784,78,65,0,0,3,1,1
11,18.947295321496416,11,158,12,3.605551275463989,1724,88,94,0,0,3,1,1
11,21.166010488516726,12,180,14,3.7416573867739413,1788,118,111,0,0,3,1,1
11,21.213203435596427,13,187,16,4.0,1788,134,116,0,0,3,1,1
11,21.118712081942874,14,193,17,4.47213595499958,1788,144,101,0,0,3,1,1
11,21.494185260204677,15,184,27,5.656854249492381,1788,176,54,0,0,3,1,1
11,21.95449840010015,16,175,45,6.48074069840786,646,220,24,0,0,3,1,1
11,23.49468024894146,17,171,49,4.0,1788,225,8,0,0,3,1,1
11,29.171904291629644,18,169,57,3.7416573867739413,1788,240,0,0,0,3,1,1
11,24.392621835300936,19,163,68,4.123105625617661,1788,255,0,0,0,3,1,1
11,20.615528128088304,20,160,70,3.872983346207417,1701,255,0,0,0,3,1,1
11,20.09975124224178,21,155,72,2.8284271247461903,1480,254,0,0,0,3,1,1
11,19.924858845171276,22,154,74,3.872983346207417,1193,256,0,0,0,3,1,1
11,17.944358444926362,23,150,75,3.1622776601683795,1081,254,0,0,0,3,1,1
23,18.083141320025124,0,145,78,3.3166247903554,832,254,0,0,0,3,1,1
23,17.52141546793523,1,141,77,2.449489742783178,829,248,0,0,0,3,1,1
23,16.15549442140351,2,134,77,3.872983346207417,1072,241,0,0,0,3,1,1
23,12.884098726725126,3,128,72,4.69041575982343,1038,228,0,0,0,3,1,1
23,9.38083151964686,4,125,70,4.47213595499958,990,221,0,0,0,3,1,1
23,8.831760866327848,5,123,70,3.872983346207417,1021,219,0,0,0,3,1,1
23,8.306623862918075,6,120,73,4.58257569495584,1000,221,0,0,0,3,1,1
23,12.041594578792296,7,119,72,5.0,1092,219,0,0,0,3,1,1
23,14.7648230602334,8,121,70,4.58257569495584,1242,217,1,0,0,3,1,1
23,18.083141320025124,9,134,59,4.0,1291,211,30,0,0,3,1,1
23,18.24828759089466,10,159,48,4.0,1123,212,80,0,0,3,1,1
23,19.672315572906,11,182,40,4.242640687119285,1213,213,100,0,0,3,1,1
23,21.840329667841555,12,206,32,3.605551275463989,1459,212,109,0,0,3,1,1
23,24.49489742783178,13,223,27,4.242640687119285,1570,211,112,0,0,3,1,1
23,24.576411454889016,14,236,26,3.605551275463989,1743,219,99,0,0,3,1,1
23,24.186773244895647,15,239,32,4.795831523312719,1741,242,74,0,0,3,1,1
23,24.71841418861655,16,227,39,5.0990195135927845,1733,252,22,0,0,3,1,1
23,23.853720883753127,17,223,42,5.0,1679,257,6,0,0,3,1,1
23,22.06807649071391,18,218,44,3.872983346207417,1490,257,0,0,0,3,1,1
23,19.595917942265423,19,213,43,4.795831523312719,1459,250,0,0,0,3,1,1
23,18.920887928424502,20,209,42,3.4641016151377544,1383,244,0,0,0,3,1,1
23,19.390719429665317,21,204,46,3.4641016151377544,1252,249,0,0,0,3,1,1
23,18.788294228055936,22,198,45,3.872983346207417,1250,241,0,0,0,3,1,1
23,19.1049731745428,23,203,47,3.1622776601683795,1165,250,0,0,0,3,1,1
35,18.466185312619388,0,203,49,3.7416573867739413,1110,255,0,0,0,3,1,1
35,15.033296378372908,1,202,60,4.123105625617661,363,278,0,0,0,3,1,1
35,15.066519173319364,2,196,70,3.7416573867739413,678,290,0,0,0,3,1,1
35,10.770329614269007,3,197,62,4.0,845,277,0,5,0,3,1,1
35,8.660254037844387,4,198,64,3.1622776601683795,891,282,0,0,0,3,1,1
35,5.5677643628300215,5,202,66,4.358898943540674,755,289,0,0,0,3,1,1
35,3.4641016151377544,6,197,77,5.0,164,302,0,9,0,3,1,1
35,4.58257569495584,7,194,82,3.4641016151377544,39,307,0,0,0,3,1,1
35,9.16515138991168,8,195,83,4.242640687119285,132,310,0,0,0,3,1,1
35,12.288205727444508,9,198,82,4.242640687119285,119,311,2,20,0,3,1,1
35,14.106735979665885,10,207,80,4.69041575982343,145,317,24,0,0,3,1,1
35,16.492422502470642,11,214,78,3.7416573867739413,205,321,25,0,0,3,1,1
35,18.2208671582886,12,221,76,4.123105625617661,231,324,43,0,0,3,1,1
35,22.20360331117452,13,231,72,4.358898943540674,272,327,60,0,0,3,1,1
35,23.664319132398465,14,239,67,3.4641016151377544,303,326,69,0,0,3,1,1
35,24.779023386727733,15,243,64,4.0,313,324,53,0,0,3,1,1
35,24.372115213907882,16,239,68,4.0,280,328,20,0,0,3,1,1
35,23.280893453645632,17,230,73,3.872983346207417,240,328,5,0,0,3,1,1
35,21.02379604162864,18,223,75,4.358898943540674,211,324,0,0,0,3,1,1
35,20.518284528683193,19,220,76,4.123105625617661,194,323,0,0,0,3,1,1
35,19.8997487421324,20,215,78,3.7416573867739413,141,322,0,0,0,3,1,1
35,19.595917942265423,21,210,78,3.4641016151377544,135,317,0,0,0,3,1,1
35,18.681541692269406,22,206,80,4.242640687119285,91,316,0,0,0,3,1,1
35,17.378147196982766,23,202,81,3.605551275463989,85,314,0,0,0,3,1,1
47,16.852299546352718,0,205,79,2.449489742783178,104,313,0,0,0,3,1,1
47,13.601470508735444,1,206,78,2.23606797749979,109,313,0,0,0,3,1,1
47,10.535653752852738,2,207,78,4.242640687119285,95,314,0,0,0,3,1,1
47,8.0,3,199,76,4.795831523312719,94,303,0,0,0,3,1,1
47,6.324555320336759,4,191,80,3.872983346207417,40,301,0,0,0,3,1,1
47,9.0,5,183,74,5.196152422706632,141,285,0,0,0,3,1,1
47,14.106735979665885,6,175,67,6.082762530298219,253,265,0,1,0,3,1,1
47,22.271057451320086,7,165,59,5.830951894845301,560,240,0,0,0,3,1,1
47,30.4138126514911,8,155,60,5.916079783099616,793,233,1,0,0,3,1,1
47,22.516660498395403,9,148,38,6.48074069840786,1676,177,22,0,0,3,1,1
47,17.60681686165901,10,152,31,6.708203932499369,1788,160,64,0,0,3,1,1
47,19.44222209522358,11,158,32,6.4031242374328485,1589,169,94,0,0,3,1,1
47,19.79898987322333,12,160,29,6.928203230275509,1613,161,111,0,0,3,1,1
47,19.748417658131498,13,163,21,7.3484692283495345,1726,135,117,0,0,3,1,1
47,18.35755975068582,14,164,18,6.708203932499369,1788,123,109,0,0,3,1,1
47,18.439088914585774,15,162,16,7.54983443527075,1788,112,88,0,0,3,1,1
47,19.339079605813716,16,161,14,6.855654600401044,1788,102,55,0,0,3,1,1
47,22.64950330581225,17,150,17,7.280109889280518,1788,107,18,0,0,3,1,1
47,28.231188426986208,18,142,20,6.244997998398398,1788,113,0,0,0,3,1,1
47,23.769728648009426,19,134,23,5.656854249492381,1788,117,0,0,0,3,1,1
47,19.924858845171276,20,127,29,5.477225575051661,1788,132,0,0,0,3,1,1
47,19.8997487421324,21,117,34,6.708203932499369,1788,137,0,0,0,3,1,1
47,18.76166303929372,22,110,36,5.0,1788,137,0,0,0,3,1,1
47,15.716233645501712,23,105,35,4.898979485566356,1788,129,0,0,0,3,1,1
59,14.66287829861518,0,102,33,5.0990195135927845,1788,121,0,0,0,3,1,1
59,14.035668847618199,1,98,32,5.291502622129181,1788,114,0,0,0,3,1,1
59,11.090536506409418,2,95,32,5.0,1788,112,0,0,0,3,1,1
59,7.810249675906654,3,94,30,4.47213595499958,1788,105,0,0,0,3,1,1
59,6.4031242374328485,4,91,25,5.477225575051661,1788,86,0,0,0,3,1,1
59,9.0,5,89,24,5.0990195135927845,1788,81,0,0,0,3,1,1
59,13.076696830622021,6,89,25,5.656854249492381,1788,84,0,0,0,3,1,1
59,19.493588689617926,7,88,24,4.69041575982343,1788,80,0,0,0,3,1,1
59,28.319604517012593,8,82,27,4.0,1788,85,1,0,0,3,1,1
59,21.470910553583888,9,87,22,3.605551275463989,1762,72,21,0,0,3,1,1
59,16.3707055437449,10,108,17,5.291502622129181,1755,70,64,0,0,3,1,1
59,18.24828759089466,11,124,16,0.0,1747,80,0,0,0,3,1,1
59,17.88854381999832,12,140,16,0.0,1750,93,0,0,0,3,1,1
59,18.0,13,147,18,0.0,1743,108,0,0,0,3,1,1
59,18.24828759089466,14,152,19,0.0,1788,117,0,0,0,3,1,1
59,18.76166303929372,15,156,19,0.0,1788,121,0,0,0,3,1,1
59,20.83266665599966,16,158,21,0.0,1788,130,0,0,0,3,1,1
59,22.93468988235943,17,147,26,0.0,1788,139,0,0,0,3,1,1
59,27.910571473905726,18,137,31,0.0,1788,146,0,0,0,3,1,1
59,24.351591323771842,19,131,36,0.0,1788,155,0,0,0,3,1,1
59,20.42057785666214,20,128,37,0.0,1788,156,0,0,0,3,1,1
59,20.346989949375804,21,126,38,0.0,1788,157,0,0,0,3,1,1
59,19.79898987322333,22,135,40,0.0,1788,170,0,0,0,3,1,1
59,15.588457268119896,23,138,50,0.0,1029,196,0,0,0,3,1,1
71,12.0,0,135,68,0.0,215,228,0,1,1,3,1,1
71,11.958260743101398,1,133,70,0.0,178,229,0,0,3,3,1,1
71,10.770329614269007,2,133,70,0.0,1651,229,0,0,4,3,1,1
71,8.774964387392123,3,131,69,0.0,1598,226,0,2,4,3,1,1
71,7.54983443527075,4,129,66,0.0,1770,218,0,0,4,3,1,1
71,9.273618495495704,5,127,67,0.0,1722,218,0,0,4,3,1,1
71,11.874342087037917,6,126,67,0.0,1653,217,0,0,4,3,1,1
71,19.44222209522358,7,121,68,0.0,1533,214,0,0,3,3,1,1
71,28.142494558940577,8,121,69,0.0,1321,216,1,0,2,3,1,1
71,20.952326839756964,9,130,61,0.0,1138,211,25,0,2,3,1,1
71,17.4928556845359,10,154,55,0.0,1041,222,63,0,2,3,1,1
71,19.493588689617926,11,179,48,3.4641016151377544,1077,230,93,0,0,3,1,1
71,20.09975124224178,12,187,43,3.0,1041,226,108,0,0,3,1,1
71,21.0,13,205,38,3.3166247903554,1273,229,110,0,0,3,1,1
71,20.37154878746336,14,218,25,3.1622776601683795,1754,199,96,0,0,3,1,1
71,20.273134932713294,15,218,22,5.5677643628300215,1756,187,72,0,0,3,1,1
71,22.22611077089287,16,216,28,5.385164807134504,1788,208,36,0,0,3,1,1
71,15.427248620541512,17,204,51,5.0,1365,261,10,0,0,3,1,1
71,14.247806848775006,18,180,81,3.1622776601683795,8,292,0,3,3,3,1,1
71,14.2828568570857,19,175,83,2.6457513110645907,71,290,0,0,10,3,1,1
71,13.74772708486752,20,175,85,2.449489742783178,116,293,0,0,10,3,1,1
71,12.806248474865697,21,174,83,2.23606797749979,123,290,0,6,10,3,1,1
71,14.866068747318506,22,176,83,2.449489742783178,121,291,0,0,10,3,1,1
71,13.856406460551018,23,176,83,2.449489742783178,97,291,0,0,10,3,1,1
83,14.035668847618199,0,177,83,2.23606797749979,128,292,0,0,9,3,1,1
83,14.730919862656235,1,178,83,2.0,115,293,0,0,9,3,1,1
83,12.165525060596439,2,177,83,2.6457513110645907,61,292,0,0,9,3,1,1
83,10.04987562112089,3,182,82,3.7416573867739413,106,295,0,0,9,3,1,1
83,7.810249675906654,4,179,83,2.6457513110645907,34,294,0,0,9,3,1,1
83,9.055385138137417,5,178,83,3.3166247903554,66,293,0,0,9,3,1,1
83,11.661903789690601,6,173,84,2.23606797749979,48,290,0,0,9,3,1,1
83,19.131126469708992,7,166,84,2.23606797749979,64,283,0,0,9,3,1,1
83,27.294688127912362,8,161,87,2.8284271247461903,64,283,1,0,8,3,1,1
